file_path,rule,severity,message,line,status,effort,debt,creationDate;
"core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S1192,CRITICAL,""Define a constant instead of duplicating this literal """"MATCH (n) """" 5 times."",117,OPEN,12min,12min,2026-03-04T13:37:19+0000";
"core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S1192,CRITICAL,""Define a constant instead of duplicating this literal """"WHERE """" 3 times."",351,OPEN,8min,8min,2026-03-04T13:37:19+0000";
"core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S1192,CRITICAL,""Define a constant instead of duplicating this literal """"MATCH (n:"""" 5 times."",161,OPEN,12min,12min,2026-02-24T15:32:36+0000";
core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S108,MAJOR,Either remove or fill this block of code.,264,OPEN,5min,5min,2026-02-24T15:32:36+0000;
core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S3776,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,374,OPEN,21min,21min,2026-02-24T15:32:36+0000;
"core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S4165,MAJOR,""Remove this useless assignment";" """"lower"""" already holds the assigned value along all execution paths."",408,OPEN,5min,5min,2026-02-24T15:32:36+0000"
core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S108,MAJOR,Either remove or fill this block of code.,423,OPEN,5min,5min,2026-02-24T15:32:36+0000;
core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S108,MAJOR,Either remove or fill this block of code.,436,OPEN,5min,5min,2026-02-24T15:32:36+0000;
core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S108,MAJOR,Either remove or fill this block of code.,494,OPEN,5min,5min,2026-02-24T15:32:36+0000;
core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S3776,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.,500,OPEN,21min,21min,2026-02-24T15:32:36+0000;
core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S108,MAJOR,Either remove or fill this block of code.,607,OPEN,5min,5min,2026-02-24T15:32:36+0000;
core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S3776,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,646,OPEN,8min,8min,2026-02-24T15:32:36+0000;
"core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmSearchDAO.java,java:S107,MAJOR,""Constructor has 9 parameters, which is greater than 7 authorized."",132,OPEN,20min,20min,2024-04-22T07:58:11+0000";
